V_drain (V),I_drain (A/cm),Max_T (K)
0.0,-2.893119282089192e-28,300.0
0.1,2.8907260707800496e-11,300.0000000000033
0.2,5.236701491254119e-11,300.0000000000097
0.30000000000000004,7.411460294298476e-11,300.00000000001904
0.4,9.540906875006961e-11,300.0000000000313
0.5,1.1645844700383633e-10,300.0000000000465
0.6,1.3605471102785262e-10,300.0000000000629
0.7,1.5178021102049223e-10,300.0000000001306
0.7999999999999999,1.6718668946378193e-10,300.00000000024727
0.8999999999999999,1.824478076955252e-10,300.0000000003951
0.9999999999999999,1.9780851771536128e-10,300.0000000005698
1.0999999999999999,2.1331238440067594e-10,300.00000000077006
1.2,2.2892472988357464e-10,300.0000000009954
1.3,2.4461709656394916e-10,300.0000000012456
1.4000000000000001,2.603702985269029e-10,300.00000000152056
1.5000000000000002,2.761711484184069e-10,300.00000000182024
1.6000000000000003,2.920102623347932e-10,300.0000000021446
1.7000000000000004,3.078807498651162e-10,300.0000000024936
1.8000000000000005,3.237774131868468e-10,300.00000000286735
1.9000000000000006,3.396962397563817e-10,300.0000000032657
2.0000000000000004,3.556340699903292e-10,300.00000000368874
