V_DS,R_Top,R_Edge
0.02,96.43702328683942,79.15504053665701
0.04,69.32352487357417,57.07005792037299
0.06,49.974777068818305,41.22744475918424
0.08,36.60899622797747,30.232999027200183
0.1,27.500171096648316,22.721357931176726
0.12000000000000001,21.264865468828205,17.58090430369994
0.14,16.92134723024454,14.010227760009764
0.16,13.821582745580669,11.473267586225802
0.18,11.551762873874772,9.624634106986415
0.19999999999999998,9.848797960543017,8.2438713676058
0.21999999999999997,8.54310828088376,7.1889897650180306
0.23999999999999996,7.522856307565941,6.366755533438252
0.25999999999999995,6.712351002644255,5.714480250757787
0.27999999999999997,6.05904991537264,5.188969095885648
0.3,5.525624262698182,4.759757990577502
0.32,5.085003696220662,4.404900314384722
0.34,4.717201046522541,4.108282535974972
0.36000000000000004,4.407224627423228,3.8578729013084154
0.38000000000000006,4.14367217963388,3.644552048809685
0.4000000000000001,3.9177631187891415,3.4613150602079585
0.4200000000000001,3.7226595215182163,3.302716083803384
0.4400000000000001,3.5529815634084745,3.1644748450301887
0.46000000000000013,3.404456518608653,3.0431933773682793
0.48000000000000015,3.2736611131723965,2.9361491693293806
0.5000000000000001,3.1578301432243867,2.84114216268384
