V_DS,R_Top_Lc50,R_Edge,R_Top_Lc10
0.02,4.132825878547843,3.0439766081974855,4.132152984715943
0.04,2.639968920831353,1.9464212729154764,2.639556529166586
0.06,1.6169129985946136,1.1937192318693268,1.6166746274909587
0.08,0.9554370870767728,0.7065841210881496,0.9553075902607897
0.1,0.5485480983163654,0.4065776494391812,0.5484826586322378
0.12000000000000001,0.30824074490125264,0.2291338225660967,0.30821081066946626
0.14,0.1707622283820173,0.12743717955950645,0.1707507622136879
0.16,0.09396448647718256,0.07050170496607903,0.09396191274296571
0.18,0.0517792480304274,0.03913596702750142,0.051780507566837435
0.19999999999999998,0.02884868128667821,0.022016751685388355,0.028851267321827554
0.21999999999999997,0.016438224510869952,0.012696814744208374,0.016440951186247017
0.23999999999999996,0.00970489932115844,0.007599942039945973,0.009707233077957803
0.25999999999999995,0.006013763822982433,0.00477964256102455,0.006015539643560863
0.27999999999999997,0.003952275760615633,0.0031898291705881607,0.003953544854166017
0.3,0.002770775830588263,0.0022718582353207432,0.0027716727359360107
0.32,0.002072366276377108,0.0017271071623145885,0.002073026232595964
0.34,0.001645450131832603,0.001394488546603846,0.0016459810473827014
0.36000000000000004,0.001375464294369479,0.0011856682742659049,0.0013759454061337
0.38000000000000006,0.0011990418506535238,0.001051185036377058,0.0011995296210716522
0.4000000000000001,0.001080257801491502,0.0009627112266635857,0.0010807921821190541
0.4200000000000001,0.0009981980739756054,0.0009036368049520873,0.0009988075765872048
0.4400000000000001,0.0009403426857307806,0.0008639746945667016,0.0009410481221671375
0.46000000000000013,0.0008989749028007295,0.0008375547954939228,0.0008997919922490791
0.48000000000000015,0.0008691939622265496,0.0008204539572547496,0.0008701350825564131
0.5000000000000001,0.0008477929004933847,0.0008101032559217376,0.0008488682410171521
