Geometry,L_c (cm),Work Function (eV),R_total (Ohm*cm),Max_T at 2.0V (K)
top,1e-06,4.33,3512663750.234132,300.00000000703733
top,2e-06,4.33,3507033396.76095,300.00000000708997
top,3e-06,4.33,3504352315.2428794,300.00000000709184
top,5e-06,4.33,3498085167.8588667,300.00000000739135
top,1e-06,4.8,2765.2993619108693,300.21824863095446
top,2e-06,4.8,2727.5320014749623,300.2232432381072
top,3e-06,4.8,2701.0392358878735,300.2234173555414
top,5e-06,4.8,2621.8728739060202,300.22379351988934
top,1e-06,5.0,2.779952467282377,458.7199376820467
top,2e-06,5.0,2.7277058726587238,460.08361754056756
top,3e-06,5.0,2.6870042178580142,460.10591992268934
top,5e-06,5.0,2.5656351630170895,470.1380519109882
edge,N/A,4.33,3459338503.5966225,300.00000000368874
edge,N/A,4.8,2386.954789091037,300.0717152703289
edge,N/A,5.0,2.2469644399488997,375.8024150478479
